wavelength,QE,rel_acceptance
293.0501490133432,1.9275666084560754,0.07923824134233488
293.1313682283752,1.1979563290554598,0.04924548511208408
293.1423441697123,1.273511187149245,0.05235138768061658
293.17631732147,1.538926193308607,0.06326204478666494
293.1872932628071,1.6359859502731349,0.06725196887709302
293.3725300909571,0.9241796418303776,0.037991096744347246
293.4955755449612,2.571077040335381,0.10569161249115581
293.59860069412974,3.257221232858607,0.1338975685833008
293.8975934664792,3.4682745569190585,0.14257353036570533
294.95849026097085,4.353081957905731,0.17894611644044678
295.99094938927095,5.394618396177893,0.2217615062176899
298.69789972526786,7.131007817000353,0.29314085227391334
302.87668079527197,9.242747778804757,0.37995007588862273
307.0509580595603,11.682938257168168,0.4802612149162387
317.53866044585453,15.046014844818961,0.6185102762643576
326.4933964749271,17.928159106671686,0.7369892131800756
342.84889014045154,21.29008262468732,0.875190874241411
349.1844790666295,21.967671709190977,0.9030451476933865
365.3108452399854,23.7136047353806,0.9748168114532066
371.64291806374365,23.993593217129163,0.9863265537326897
390.63528782831594,24.32621643037688,1.0
396.6770921428607,24.26715059870552,0.997571926902796
414.22287085112174,23.535811940798084,0.9675081206384485
420.55118999797253,23.320776246892073,0.958668451941039
424.0050954167382,23.476781607360866,0.9650815067995818
437.8022813115466,21.757360274404927,0.8943996834310762
444.12850980290466,21.308880492949303,0.8759636153832892
461.3749340976514,19.370001272283975,0.7962603361571703
467.70074551379753,18.92669387514133,0.7780368940361393
480.34227407007404,17.081925638494535,0.7022023209973508
486.378592450303,16.52742080764735,0.6794077843938385
503.896321756964,13.709951957334031,0.5635875186991266
516.9157767943542,11.986296726153329,0.49273164860876917
521.6595330746788,11.501631748911946,0.47280808266383384
536.5456293901681,9.322329013495034,0.38322149439786946
547.0374642479926,7.856235940749165,0.3229534672288308
556.7016128628692,6.416850049349357,0.26378331655951404
567.5963037251327,5.1667151419669795,0.21239287896473477
577.3384257172057,4.121693229538168,0.16943420861746855
579.1980967744905,3.8864554836869645,0.1597640757168398
587.0765178520295,3.2150265007040537,0.1321630311851272
590.1400794782703,3.117763717727197,0.12816476111895275
595.6236309567626,2.567035583337797,0.10552547662661843
600.8254197018703,2.276694778199873,0.09359017193306295
603.1087639425685,2.0541280049195865,0.08444091627642245
610.7548454201376,1.6071028423354312,0.06606464457533122
613.2029554872859,1.5146130050363777,0.06226258034706272
618.1922097910108,1.2611354770011158,0.05184264805875433
620.3893034058225,1.1891501865912488,0.04888348296968702
625.6141439516391,0.9782772191102735,0.04021493526994478
633.0086423027459,0.767622949019027,0.03155537776357498
640.8598546194816,0.5743224997337935,0.023609199621220982
644.5474235641972,0.4700882874695991,0.019324348643161196
646.857603007875,0.44821326791382066,0.018425112232172827
650.4404670679668,0.3658821898836416,0.015040653400861526
652.7526596575415,0.28782863686788984,0.011832034697696331
655.1275828074723,0.29664923363403534,0.01219463102628654
658.2039506885001,0.280345270248517,0.011524409110265147
659.3997327741943,0.23248862327210015,0.009557122207536746
661.1148542740839,0.21838256249936874,0.008977251481930739
665.6781166673943,0.17441033198758438,0.007169644835100329
669.3817881047758,0.14210365073390685,0.005841584577717467
670.9397804781405,0.13334200494475765,0.0054814116007884175
673.9414496607658,0.11123602476902224,0.004572680880620566
678.8964174727644,0.08581512935487896,0.003527680911681729
683.6303366545347,0.06595958446234657,0.0027114608903989214
686.7566393602594,0.05317055573708387,0.0021857306042335537
688.1832271726399,0.04972012640032195,0.0020438906536338684
690.7409060656254,0.04163403264566084,0.0017114882112810263
692.1679795858478,0.03903776234796857,0.0016047609565464909
696.0248810244657,0.028546756310144587,0.0011734975881616094
698.4213519009421,0.025475774724212974,0.0010472559428683125
699.5600749299825,0.023804109806700474,0.0009785372860933509
700.1252836424558,0.022483526811932344,0.0009242508746184008
701.8292114243943,0.019842294496136875,0.0008156753251343765
706.3424637469454,0.015079698914606587,0.0006198949580904045
707.5267267507711,0.014442855127644464,0.0005937156388039545
